index	mz	tic	mzdelta	id	score	formula	mod	name
171	442.0147	0.8973	0.0024	gdp	53	C10H15N5O11P2	-H(+)	GDP
172	445.056	0.9107	-0.0029	cdpea	72	C11H20N4O11P2	-H(+)	CDPethanolamine
173	453.086	NaN	-0.0196	25aics	51	C13H19N4O12P	-H(+)	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
174	455.0991	0.9563	-0.0018	fmn	96	C17H21N4O9P	-H(+)	FMN
175	465.2285	0.9342	-0.0026	dolmanp	52	C21H39O9P	-H(+)	Dolichyl phosphate D-mannose
176	465.9811	0.9237	0.0012	dctp	100	C9H16N3O13P3	-H(+)	dCTP
177	481.977	0.8218	1.82E-04	ctp	100	C9H16N3O14P3	-H(+)	CTP
178	482.9603	0.8935	9.03E-04	utp	100	C9H15N2O15P3	-H(+)	UTP
179	487.1074	0.9331	-0.0074	cdpchol	42	C14H26N4O11P2	-H(+)	CDPcholine
180	498.9252	0.9288	-0.0037	mi1345p	42	C6H16O18P4	-H(+)	"1D-myo-Inositol 1,3,4,5-tetrakisphosphate"
180	498.9252	0.9288	-0.0037	mi1456p	42	C6H16O18P4	-H(+)	"1D-myo-Inositol 1,4,5,6-tetrakisphosphate"
181	505.9885	0.8598	-3.40E-05	atp	100	C10H16N5O13P3	-H(+)	ATP
181	505.9885	0.8598	-3.40E-05	dgtp	100	C10H16N5O13P3	-H(+)	dGTP
182	517.2444	0.7726	0.0046	pendp	43	C25H44O7P2	-H(+)	all-trans-Pentaprenyl diphosphate
183	521.9824	0.8978	9.62E-04	gtp	100	C10H16N5O14P3	-H(+)	GTP
184	561.2551	0.915	-0.0044	ppp9	35	C34H34N4O4	-H(+)	Protoporphyrin
185	578.8956	NaN	-0.0078	mi13456p	100	C6H17O21P5	-H(+)	"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate"
186	604.0696	0.9255	3.20E-04	gdpmann	100	C16H25N5O16P2	-H(+)	GDP-D-mannose
187	606.0736	0.9212	6.50E-04	udpacgal	100	C17H27N3O17P2	-H(+)	UDP-N-acetyl-D-galactosamine
188	611.1435	0.9288	0.0012	gthox	83	C20H32N6O12S2	-H(+)	Oxidized glutathione
189	666.6399	0.5097	6.71E-04	cer2_24	100	C42H85NO4	-H(+)	Ceramide-2 (Phytosphingosine:n-C24:0)
190	786.1693	0.9476	-0.0038	fadh2	42	C27H35N9O15P2	-H(+)	Flavin adenine dinucleotide reduced
191	808.1173	0.9225	0.0012	accoa	86	C23H38N7O17P3S	-H(+)	Acetyl-CoA
192	850.1252	0.5496	0.0039	aacoa	100	C25H40N7O18P3S	-H(+)	Acetoacetyl-CoA
193	912.1339	0.5231	0.0109	coucoa	35	C30H42N7O18P3S1	-H(+)	p-coumaroyl-CoA
194	915.1979	0.9458	0.005	sheme	10	C42H44FeN4O16	-H(+)	Siroheme
195	974.2917	0.6416	-0.0011	td2coa	100	C35H60N7O17P3S	-H(+)	trans-Tetradec-2-enoyl-CoA
195	974.2917	0.6416	-0.0011	tdecoa	100	C35H60N7O17P3S	-H(+)	Tetradecenoyl-CoA (n-C14:1CoA)
196	976.3166	0.4573	-0.0103	tdcoa	35	C35H62N7O17P3S	-H(+)	Tetradecanoyl-CoA (n-C14:0CoA)
